Date,Description,Category,Type,Amount
2025-10-27,Insurance Payment,Insurance,expense,159.05
2025-12-01,Interest Income - Client 25,Interest Income,income,9735.13
2025-11-24,Marketing Ads Payment,Marketing Ads,expense,1986.84
2025-11-24,Consulting Services - Client 47,Consulting Services,income,6533.51
2025-07-15,Insurance Payment,Insurance,expense,1283.6
2025-09-10,Insurance Payment,Insurance,expense,220.77
2025-10-30,Insurance Payment,Insurance,expense,1956.37
2025-08-28,Sales Revenue - Client 84,Sales Revenue,income,8805.08
2025-12-15,Interest Income - Client 40,Interest Income,income,8353.37
2025-12-09,Marketing Ads Payment,Marketing Ads,expense,1573.2
2025-06-29,Software Licenses Payment,Software Licenses,expense,1860.37
2025-07-20,Legal Fees Payment,Legal Fees,expense,859.89
2025-08-11,Subscription Fees - Client 20,Subscription Fees,income,13422.98
2025-09-01,Software Licenses Payment,Software Licenses,expense,1609.08
2025-08-01,Consulting Services - Client 9,Consulting Services,income,2015.51
2025-08-07,Interest Income - Client 61,Interest Income,income,8972.5
2025-12-13,Travel Expenses Payment,Travel Expenses,expense,1704.53
2025-10-16,Legal Fees Payment,Legal Fees,expense,824.9
2025-11-16,Office Supplies Payment,Office Supplies,expense,625.8
2025-10-04,Subscription Fees - Client 19,Subscription Fees,income,7255.43
2025-11-07,Consulting Services - Client 49,Consulting Services,income,4832.97
2025-09-05,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,337.88
2025-10-24,Marketing Ads Payment,Marketing Ads,expense,1127.17
2025-09-17,Interest Income - Client 80,Interest Income,income,1516.01
2025-08-03,Employee Salaries Payment,Employee Salaries,expense,8500
2025-07-30,Office Supplies Payment,Office Supplies,expense,860.65
2025-11-05,Software Licenses Payment,Software Licenses,expense,1719.88
2025-11-25,Marketing Ads Payment,Marketing Ads,expense,407.13
2025-08-31,Office Rent Payment,Office Rent,expense,3500
2025-08-03,Travel Expenses Payment,Travel Expenses,expense,326.38
2025-11-01,Insurance Payment,Insurance,expense,718.77
2025-11-05,Utilities Payment,Utilities,expense,1389.11
2025-07-08,Subscription Fees - Client 44,Subscription Fees,income,14121.86
2025-08-06,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,156.84
2025-06-16,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,1153.47
2025-09-04,Interest Income - Client 31,Interest Income,income,10365.78
2025-12-13,Sales Revenue - Client 22,Sales Revenue,income,14860.83
2025-07-06,Sales Revenue - Client 86,Sales Revenue,income,13838.32
2025-09-16,Office Rent Payment,Office Rent,expense,3500
2025-09-05,Sales Revenue - Client 53,Sales Revenue,income,12758.95
2025-07-17,Marketing Ads Payment,Marketing Ads,expense,113.35
2025-10-06,Legal Fees Payment,Legal Fees,expense,648.13
2025-08-28,Legal Fees Payment,Legal Fees,expense,1691.92
2025-06-20,Travel Expenses Payment,Travel Expenses,expense,195.15
2025-10-06,Interest Income - Client 35,Interest Income,income,2134.69
2025-08-18,Sales Revenue - Client 83,Sales Revenue,income,11270.55
2025-10-26,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,120.45
2025-11-04,Consulting Services - Client 14,Consulting Services,income,6078.65
2025-10-25,Insurance Payment,Insurance,expense,1783.72
2025-11-14,Consulting Services - Client 41,Consulting Services,income,8363.37
2025-09-21,Subscription Fees - Client 73,Subscription Fees,income,1509.64
2025-09-04,Marketing Ads Payment,Marketing Ads,expense,1946.59
2025-07-16,Marketing Ads Payment,Marketing Ads,expense,998.87
2025-09-16,Insurance Payment,Insurance,expense,286.45
2025-10-05,Interest Income - Client 81,Interest Income,income,10451.77
2025-07-31,Subscription Fees - Client 18,Subscription Fees,income,9096.36
2025-11-13,Employee Salaries Payment,Employee Salaries,expense,8500
2025-08-16,Consulting Services - Client 31,Consulting Services,income,4741.79
2025-10-06,Software Licenses Payment,Software Licenses,expense,914.08
2025-08-13,Software Licenses Payment,Software Licenses,expense,818.35
